champagne,[ʃæmpein],香槟酒,,
cocktail,[‘kɔk teil],鸡尾酒,,
vodka,[‘vɔdkə],伏特加,,
whisky,[‘wiski],威士忌,,
brandy,[‘brændi],白兰地,,
martini,[ma:’ti:ni],马提尼酒,,
menu,[‘menju:],菜单菜谱,,
bowl,[bəul],碗,,
table,[‘teibl],餐桌,,
tablecloth,[‘teiblklɔθ],桌布,,
napkin,[‘næpkin],餐巾,,
cutlery,[‘kʌtləri],餐具,,
fork,[fɔ:k],叉,,
spoon,[spu:n],匙 勺子,,
teaspoon,[‘ti:spu:n],茶匙,,
ladle,[‘leidl],长柄勺,,
knife,[naif],刀,,
glass,[gla:s],玻璃杯,,
bottle,[‘bɔtl],瓶子,,
cup,[kʌp],杯子,,
saucer,[‘sɔ:sə],茶碟 咖啡碟,,
teapot,[‘ti:pɔt],茶壶,,
tray,[trei],托盘,,
coffeepot,[],咖啡壶,,
clothes,[kləuðz],衣服 服装,,
clothing,['kləuðiŋ],服装,,
suit,[sju:t su:t],男西装男外衣,,
dress,[dres],女装 连衣裙,,
uniform,['ju:nifɔ:m],制服,,
coat,[kəut],外套,,
jacket,['dʒækit],夹克 短上衣,,
pocket,['pɔkit],衣袋 口袋,,
sleeve,[sli:v],袖子 衣袖,,
shirt,[ʃə:t],衬衫 内衣,,
sweater,['swetə],毛衣 运动衫,,
trousers,['trauzəz],裤子,,
belt,[belt],腰带,,
skirt,[skə:t],裙子,,
handkerchief,['hæŋkətʃif],手帕,,
shoe,[ʃu:],鞋,,
sole,[səul],鞋底,,
heel,[hi:l],鞋后跟,,
boot,[bu:t],靴子,,
glove,[glʌv],手套,,
tie,[tai],领带,,
cotton,['kɔtən],棉花,,
ring,[riŋ],戒指,,
necklace,[’neklis],项链,,
perfume,[pə’fju:m],香水,,
purse,[pə:s],手提包 钱包,,
muffler,[’mʌflə],围巾,,
jeans,[dʒi:nz],牛仔裤,,
shorts,[ʃɔ:ts],短裤 内裤,,
sandal,['sædəl],凉鞋 便鞋,,
vest,[vest],背心 汗衫,,
sneaker,['sni:kə],运动鞋,,
pants,[pænts],裤子 短裤,,
bra,[bra:],乳罩,,
stocking,[’stɔkiŋ],长筒袜,,
sock,[sɔk],短袜 袜子,,
apron,[’eiprən],围裙,,
slipper,[’slipə],拖鞋,,
earring,[’iəriŋ],耳环 耳饰,,
lipstick,[’lipstik],口红 唇膏,,
tissue,['tiʃju: -sju:],纸巾,,
raincoat,[’reinkəut],雨衣,,
button,[’bʌtən],纽扣,,
collar,[’kɔlə],衣领 领子,,
wallet,[’wɔlit],钱包 皮夹,,
blouse,[blauz],女衬衫,,
head,[hed],头,,
hair,[hεə],头发,,
face,[feis],脸,,
cheek,[tʃi:k],脸颊,,
ear,[iə],耳朵,,
eye,[ai],眼睛,,
lid,[lid],眼睑,,
nose,[nəuz],鼻子,,
mouth,[mauθ],嘴,,
lip,[lip],嘴唇,,
throat,[θrəut],咽喉 嗓子,,
tonsil,[’tɔnsil],扁桃体,,
tooth,[tu:θ],牙齿,,
denture,[’dentʃə],假齿,,
gum,[gʌm],牙龈,,
tongue,[tʌŋ],舌头,,
neck,[nek],脖子,,
skull,[skʌl],颅骨 头盖骨,,
brain,[brein],脑,,
chin,[tʃin],下巴,,
forehead,[’fɔrid],前额,,
temple,[’templ],太阳穴,,
mustache,[mə'stɑ:ʃ 'mʌstæʃ],胡子,,
beard,[biəd],山羊胡 胡须,,
whisker,[’hwiskə],络腮胡,,
sidebums,[],鬓角,,
baldhead,['bɔ:ldhed],秃头,,
wrinkle,[’riŋkl],皱纹,,
mole,[məul],痣,,
freckle,[’frekl],雀斑,,
dimple,[’dimpl],酒涡,,
pimple,[’pimpl],粉刺 丘疹,,
chest,[tʃest],胸部,,
navel,[’neivəl],肚脐,,
abdomen,[æb'dəumen],腹部,,
shoulder,[’ʃəuldə],肩膀,,
back,[bæk],背部 手背,,
waist,[weist],腰 腰部,,
hip,[hip],臀部,,
buttock,[’bʌtək],屁股,,
finger,['fiŋgə],手指,,
thumb,[θʌm],大拇指,,
forefinger,[’fɔ: fiŋgə],食指,,
middle finger,[],中指,,
third finger,[],无名指,,
little finger,[],小指,,
palm,[pa:m],手掌,,
nail,[neil],指甲,,
fist,[fist],拳头,,
knuckle,[’nʌkl],指关节,,
wrist,[rist],手腕 腕关节,,
elbow,[’elbəu],肘部,,
armpit,[’ɑ:mpit],腋下,,
thigh,[θai],大腿,,
kneecap,[‘ni:kæp],膝盖骨,,
knee,[ni:],膝盖 膝,,
shank,[ʃæŋk],小腿,,
calf,[ka:f kæf],小腿肚,,
foot,[fut],脚,,
instep,[’instep],脚背,,
toe,[təu],脚趾 足尖,,
ankle,[’æŋkl],踝 踝关节,,
heel,[hi:l],脚后跟 鞋后跟,,
sole,[səul],脚底 鞋底,,
arch,[a:tʃ],脚掌心 足弓,,
comb,[kəum],梳子,,
glass,[gla:s glæs],玻璃杯,,
umbrella,[ʌm’brelə],雨伞,,
bag,[bæg],袋子 包,,
handbag,[hændbæg],手提包,,
handkerchief,[‘hæŋkətʃif],手帕 头巾 围巾,,
purse,[pə:s],钱包,,
wallet,[‘wɔlit],钱包 皮夹,,
watch,[wɔtʃ],手表,,
match,[mætʃ],火柴,,
chair,[tʃεə],椅子,,
armchair,[a:m'tʃεə 'a:m-],扶手椅,,
bench,[bentʃ],长椅子 长凳,,
rug,[rʌg],小地毯 地毯,,
carpet,[‘ka:pit],地毯,,
desk,[desk],书桌 办公桌,,
fan,[fæn],风扇,,
furniture,[‘fə:nitʃə],家具,,
bed,[bed],床,,
bedclothes,['bedkləuðz],铺盖 床上用品,,
blanket,[‘blæŋkit],毛毯 毯子,,
pillow,[‘piləu],枕头,,
quilt,[kwilt],棉被 被子,,
sheet,[ʃi:t],床单,,
mat,[mæt],席子,,
cushion,[‘kuʃən],垫子,,
curtain,[‘kə:tən],窗帘 帘子,,
suitcase,[‘sju:tkeis],手提箱 衣箱,,
cupboard,[‘kʌbəd],碗柜 橱柜,,
drawer,[drɔ:],抽屉,,
stool,[stu:l],凳子,,
clock,[klɔk],时钟,,
light,[‘lait],灯,,
lamp,[læmp],灯,,
needle,[‘ni:dl],针,,
thread,[θred],线,,
bathroom,[‘ba:θrum],浴室 厕所,,
mirror,[‘mirə],镜子,,
soap,[səup],肥皂,,
towel,[‘tauəl],毛巾 手巾,,
lavatory,[‘lævətəri],洗脸盆 厕所,,
toothpaste,[‘tu:θpeist],牙膏,,
closet,[‘klɔzit],壁橱,,
screen,[skri:n],屏风 屏幕,,
shelf,[ʃelf],架子 搁板,,
rack,[ræk],行李架,,
toilet,[‘tɔilit],卫生间 厕所,,
tap,[tæp],水龙头,,
bath,[ba:θ],浴缸 浴盆,,
sponge,[spʌndʒ],海绵,,
thermometer,[θə’mɔmitə],温度计 体温计,,
bulb,[bʌlb],灯泡,,
switch,[switʃ],开关,,
plug,[plʌg],插头,,
telephone,[‘telifəun],电话,,
hook,[huk],挂钩 衣钩,,
toothbrush,[‘tu:θbrʌʃ],牙刷,,
perfume,[pə’fju:m],香水,,
torch,[tɔ:tʃ],手电筒 火把,,
battery,[‘bætəri],电池,,
lock,[lɔk],锁,,
trunk,[trʌŋk],大衣箱 车后行李箱（美）,,
antique,[æn’ti:k],古玩 古董,,
cradle,[‘kreidl],摇篮,,
television,[‘teli viʒən],电视机,,
radio,[‘reidiəu],收音机,,
microphone,[‘maikrəfəun],麦克风 话筒,,
refrigerator,[ri’fridʒəreitə],冰箱,,
stereo,[‘steri əu],立体音响系统,,
glue,[glu:],胶水 胶,,
eraser,[i’reizə],橡皮擦,,
toolbox,[‘tu:l bɔks],工具箱,,
